yr,mo,dy,date,st,mag,inj,fat,slat,slon,elat,elon,len,wid
1950,1,3,1950-01-03,IL,3,3,0,39.1,-89.3,39.12,-89.23,3.6,130
1950,1,3,1950-01-03,MO,3,3,0,38.77,-90.22,38.83,-90.03,9.5,150
1950,1,3,1950-01-03,OH,1,1,0,40.88,-84.58,0.0,0.0,0.1,10
1950,1,13,1950-01-13,AR,3,1,1,34.4,-94.37,0.0,0.0,0.6,17
1950,1,25,1950-01-25,IL,2,0,0,41.17,-87.33,0.0,0.0,0.1,100
1950,1,25,1950-01-25,MO,2,5,0,37.6,-90.68,37.63,-90.65,2.3,300
1950,1,26,1950-01-26,TX,2,2,0,26.88,-98.12,26.88,-98.05,4.7,133
1950,2,11,1950-02-11,TX,2,0,0,29.42,-95.25,29.52,-95.13,9.9,400
1950,2,11,1950-02-11,TX,2,5,0,32.35,-95.2,32.42,-95.2,4.6,100
1950,2,11,1950-02-11,TX,2,6,0,32.98,-94.63,33.0,-94.7,4.5,67
1950,2,11,1950-02-11,TX,3,12,1,29.67,-95.05,29.83,-95.0,12.0,1000
1950,2,12,1950-02-12,AR,2,0,0,34.48,-92.4,0.0,0.0,0.1,100
1950,2,12,1950-02-12,AR,2,0,0,33.27,-92.95,33.35,-92.95,5.7,100
1950,2,12,1950-02-12,LA,1,0,0,32.6,-91.33,0.0,0.0,0.5,33
1950,2,12,1950-02-12,LA,2,10,5,32.2,-93.58,32.97,-93.17,58.4,100
1950,2,12,1950-02-12,LA,3,25,5,31.63,-93.65,32.55,-93.03,74.5,100
1950,2,12,1950-02-12,LA,4,77,18,31.97,-94.0,33.0,-93.3,82.6,100
1950,2,12,1950-02-12,MS,1,0,0,34.6,-89.12,0.0,0.0,2.0,10
1950,2,12,1950-02-12,MS,2,2,3,34.6,-89.12,0.0,0.0,0.1,10
1950,2,12,1950-02-12,TX,1,0,0,32.08,-98.35,32.1,-98.33,2.3,233
1950,2,12,1950-02-12,TX,1,0,0,32.08,-98.35,32.1,-98.33,2.3,233